player,receptions,receiving_yards,receiving_tds,long_reception,year,opponent
Dylan Bongiorni,3,41,0,15,2015,Clarion University
T.J. Latimer,8,38,1,9,2015,Clarion University
FJ Williams,5,37,2,26,2015,Clarion University
Jaquan Williams,3,26,0,12,2015,Clarion University
John Matarazzo,3,26,1,21,2015,Clarion University
Brandon Brown-Dukes,1,10,0,5,2015,Clarion University
Richie Sanders,1,9,0,9,2015,Clarion University
Brad Novak,1,9,0,9,2015,Clarion University
Donny Holl,1,8,0,8,2015,Clarion University
Drew Robinson,1,7,0,7,2015,Clarion University
FJ Williams,4,54,0,29,2015,Gannon University
Jaquan Williams,4,30,0,15,2015,Gannon University
John Matarazzo,2,29,0,16,2015,Gannon University
Zach Emerick,1,28,0,28,2015,Gannon University
T.J. Latimer,4,22,0,12,2015,Gannon University
Richie Sanders,2,18,0,9,2015,Gannon University
Brad Novak,1,6,0,6,2015,Gannon University
Jaquan Williams,8,137,1,35,2015,Slippery Rock University
FJ Williams,10,97,1,20,2015,Slippery Rock University
Brandon Brown-Dukes,7,58,0,12,2015,Slippery Rock University
Richie Sanders,3,37,0,26,2015,Slippery Rock University
T.J. Latimer,4,36,1,16,2015,Slippery Rock University
Donny Holl,2,20,0,10,2015,Slippery Rock University
Dylan Bongiorni,2,13,0,8,2015,Slippery Rock University
John Matarazzo,1,10,0,10,2015,Slippery Rock University
Brad Novak,2,4,0,4,2015,Slippery Rock University
FJ Williams,1,21,0,21,2015,Edinboro University of Pennsylvania
T.J. Latimer,3,19,0,9,2015,Edinboro University of Pennsylvania
B. Brown-Dukes,4,9,0,6,2015,Edinboro University of Pennsylvania
Jaquan Williams,2,8,1,6,2015,Edinboro University of Pennsylvania
John Matarazzo,1,7,0,7,2015,Edinboro University of Pennsylvania
FJ Williams,3,104,1,58,2015,Seton Hill University
Brandon Brown-Dukes,1,68,1,68,2015,Seton Hill University
Jaquan Williams,6,49,1,18,2015,Seton Hill University
Dylan Bongiorni,4,42,0,16,2015,Seton Hill University
T.J. Latimer,3,29,1,20,2015,Seton Hill University
Drew Robinson,2,13,0,7,2015,Seton Hill University
Richie Sanders,1,6,0,6,2015,Seton Hill University
Jaquan Williams,6,99,1,27,2015,California University of Pennsylvania
Donny Holl,4,35,0,17,2015,California University of Pennsylvania
Drew Robinson,2,31,0,21,2015,California University of Pennsylvania
T.J. Latimer,2,28,0,24,2015,California University of Pennsylvania
John Matarazzo,2,27,1,19,2015,California University of Pennsylvania
FJ Williams,1,9,0,9,2015,California University of Pennsylvania
Dylan Bongiorni,1,6,0,6,2015,California University of Pennsylvania
Brandon Brown-Dukes,2,4,0,9,2015,California University of Pennsylvania
FJ Williams,7,75,1,20,2015,Shippensburg University
T.J. Latimer,2,61,0,66,2015,Shippensburg University
Jaquan Williams,6,57,0,16,2015,Shippensburg University
Dylan Bongiorni,3,36,0,15,2015,Shippensburg University
Richie Sanders,1,0,0,0,2015,Shippensburg University
Danavian Clay,5,74,0,37,2016,Ashland University
Brad Novak,1,53,0,53,2016,Ashland University
Richie Sanders,3,26,0,23,2016,Ashland University
Clay Waldron,2,16,0,11,2016,Ashland University
Zach Smith,1,10,0,10,2016,Ashland University
Pierce Bauer,2,8,0,4,2016,Ashland University
Drew Robinson,1,-6,0,0,2016,Ashland University
Bryce Mostoller,5,49,1,19,2016,Kutztown University
Danavian Clay,4,32,0,13,2016,Kutztown University
Brad Novak,2,26,0,14,2016,Kutztown University
Brian Matthews,1,4,0,4,2016,Kutztown University
Pierce Bauer,1,1,0,1,2016,Kutztown University
Drew Robinson,2,-1,0,4,2016,Kutztown University
Richie Sanders,1,-3,0,0,2016,Kutztown University
Brad Novak,6,95,1,57,2016,East Stroudsburg University
Danavian Clay,3,59,1,53,2016,East Stroudsburg University
Drew Robinson,2,40,0,20,2016,East Stroudsburg University
Richie Sanders,3,38,0,26,2016,East Stroudsburg University
Zach Smith,4,28,0,8,2016,East Stroudsburg University
Bryce Mostoller,1,28,0,28,2016,East Stroudsburg University
Brian Matthews,2,24,1,21,2016,East Stroudsburg University
Pierce Bauer,1,2,0,2,2016,East Stroudsburg University
Brad Novak,4,97,2,51,2016,Clarion University
Brian Matthews,1,89,1,89,2016,Clarion University
Richie Sanders,4,54,0,35,2016,Clarion University
Danavian Clay,4,54,0,38,2016,Clarion University
Drew Robinson,3,6,0,7,2016,Clarion University
Pierce Bauer,1,6,0,6,2016,Clarion University
