year,opponent,mu_total_first_downs,opp_total_first_downs,mu_rushing_first_downs,opp_rushing_first_downs,mu_passing_first_downs,opp_passing_first_downs,mu_penalty_first_downs,opp_penalty_first_downs,mu_rushing_net,opp_rushing_net,mu_rushing_attempts,opp_rushing_attempts,mu_rushing_tds,opp_rushing_tds,mu_passing_net,opp_passing_net,mu_completions,mu_attempts,mu_passing_ints,opp_completions,opp_attempts,opp_passing_ints,mu_td_passes,opp_td_passes,mu_total_yards,opp_total_yards,mu_plays,opp_plays,mu_fumbles,opp_fumbles,mu_fumbles_lost,opp_fumbles_lost,mu_penalties,opp_penalties,mu_penalty_yards,opp_penalty_yards,mu_punts,opp_punts,mu_punt_yards,opp_punt_yards,mu_punt_avg,opp_punt_avg,mu_punt_returns,opp_punt_returns,mu_punt_return_yards,opp_punt_return_yards,mu_punt_return_tds,opp_punt_return_tds,mu_punt_return_avg,opp_punt_return_avg,mu_kickoff_returns,opp_kickoff_returns,mu_kickoff_return_yards,opp_kickoff_return_yards,mu_kickoff_return_tds,opp_kickoff_return_tds,mu_kickoff_return_avg,opp_kickoff_return_avg,mu_ints,opp_ints,mu_int_return_yards,opp_int_return_yards,mu_int_return_tds,opp_int_return_tds
2015,Indiana University of Pennsylvania,16,18,0,11,15,7,1,0,6,226,14,44,0,1,357,127,26,47,4,14,23,0,2,1,363,353,61,67,1,1,0,1,5,9,47,69,4,4,186,197,46.5,49.25,2,3,54,4,0,0,27.0,1.3333333333333333,6,3,90,75,0,0,15.0,25.0,0,4,0,154,0,3
2015,Clarion University,17,22,7,3,10,18,0,1,103,51,30,22,0,2,211,431,27,38,0,26,34,1,4,3,314,482,68,56,2,1,1,0,9,10,85,71,5,2,215,76,43.0,38.0,1,1,0,2,0,0,0.0,2.0,6,2,133,12,0,0,22.166666666666668,6.0,1,0,0,0,0,0
2015,Gannon University,18,21,6,9,10,11,2,1,104,172,30,32,2,1,187,290,18,33,2,20,37,2,0,1,291,462,63,69,1,2,1,0,5,11,38,97,4,3,171,134,42.75,44.666666666666664,1,0,38,0,0,0,38.0,0.0,4,3,89,72,0,0,22.25,24.0,2,2,29,25,0,0
2015,Slippery Rock University,23,26,2,15,19,8,2,3,-11,252,15,55,0,4,412,154,39,65,3,16,26,1,3,1,401,406,80,81,0,4,0,3,8,11,93,123,3,3,122,134,40.666666666666664,44.666666666666664,1,1,4,9,0,0,4.0,9.0,4,4,77,117,0,0,19.25,29.25,1,3,8,4,0,0
2015,Edinboro University of Pennsylvania,17,7,12,2,3,5,2,0,251,37,50,20,4,2,64,169,11,18,1,14,28,2,1,1,315,206,68,48,3,1,2,0,3,4,25,32,5,7,202,184,40.4,26.285714285714285,1,4,2,44,0,1,2.0,11.0,5,6,99,95,0,0,19.8,15.833333333333334,2,1,14,14,0,0
2015,Seton Hill University,24,16,10,3,12,11,2,2,189,66,37,24,1,1,311,192,20,32,0,25,37,0,4,1,500,258,69,61,1,1,0,0,8,9,82,75,3,7,114,271,38.0,38.714285714285715,3,2,65,18,1,0,21.666666666666668,9.0,3,6,57,130,0,0,19.0,21.666666666666668,0,0,0,0,0,0
2015,California University of Pennsylvania,30,15,14,8,11,7,5,0,189,116,45,32,1,2,239,316,20,38,1,13,16,0,2,2,428,432,83,48,2,1,0,1,6,10,45,97,1,0,43,0,43.0,0.0,0,0,0,0,0,0,0.0,0.0,5,2,117,16,0,0,23.4,8.0,0,1,0,80,0,0
2015,Shippensburg University,22,23,7,12,11,10,4,1,104,344,34,48,2,6,229,276,19,37,6,11,19,0,1,4,333,620,71,67,2,2,1,0,7,9,75,86,4,4,165,90,41.25,22.5,0,3,0,37,0,0,0.0,12.333333333333334,9,1,138,32,0,0,15.333333333333334,32.0,0,6,0,32,0,0
2016,Ashland University,10,27,2,15,6,12,2,0,7,320,28,38,0,3,181,270,15,32,0,24,33,0,0,4,188,590,60,71,0,0,0,0,5,5,30,48,8,3,348,121,43.5,40.333333333333336,3,1,10,33,0,0,3.3333333333333335,33.0,7,1,214,25,0,0,30.571428571428573,25.0,0,0,0,0,0,0
2016,Kutztown University,13,20,3,9,7,11,3,0,62,196,36,39,1,1,108,194,16,29,0,26,40,0,1,2,170,390,65,79,0,0,0,0,8,5,55,59,8,6,290,168,36.25,28.0,2,2,46,14,1,0,23.0,7.0,4,4,95,89,0,0,23.75,22.25,0,0,0,0,0,0
