player,solo_tkl,ast_tkl,tot_tkl,tfl,tfl_yards,sacks,sack_yards,FF,FR,FR_yards,interceptions,pbu,blks,QBH,year,opponent
Garrett Wild,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Curtis Hansford,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
T.J. Latimer,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Josh Harold,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Nick Kurpakus,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Kevin Poropat,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Jaquan Williams,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Tevin Stewart,0,0,0,0,0,0,0,0,0,0,1-0,0,0,0,2012,East Stroudsburg University
Niko Otto,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,East Stroudsburg University
Pat Behm,4,2,6,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Keith Polson,4,1,5,1.0,2,0,0,0,0,0,0,0,0,0,2013,Bentley University
Michael Foster,4,1,5,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Joe Dever,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Aunre' Davis,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Mike Brown,3,1,4,2.0,9,0,0,0,0,0,0,0,0,0,2013,Bentley University
Tevin Stewart,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Dustin Galich,3,1,4,1.0,1,0,0,0,0,0,0,0,0,1,2013,Bentley University
Allen Jones II,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Colin Kimball,2,1,3,0,0,0,0,0,0,0,1-0,0,0,0,2013,Bentley University
T.J. Latimer,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Bobby Haraczy,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Matt Hyland,1,1,2,1.0,1,0,0,0,0,0,0,0,0,0,2013,Bentley University
Vladmir Rock,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Ricky Mathews,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
K. Robinson Jr.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Garrett Wild,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,Bentley University
Ryan Carroll,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2013,Bentley University
Curtis Hansford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Bentley University
Michael Foster,4,2,6,0,0,0,0,0,0,0,0,1,0,0,2013,Millersville University
Ricky Mathews,4,2,6,0,0,0,0,1,0,0,0,0,0,0,2013,Millersville University
