date,opponent,Solo,aST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
2023-10-14,Clarion,41,36,77,5.0,12,1.0,4,0,2,0,0,0,0,0,0,0
2023-10-21,Gannon,34,24,58,2.0,8,0,0,0,0,0,1,-2,0,7,0,0
2023-10-28,California (PA),38,40,78,7.0,19,1.0,4,0,0,0,0,0,2,3,0,0
2023-11-04,Seton Hill,32,24,56,4.0,17,2.0,11,0,0,0,1,0,1,0,0,0
2023-11-11,Shepherd,39,18,57,0,0,0,0,1,1,0,1,30,0,2,0,0
2024-08-29,Wheeling,28,26,54,5.0,11,1.0,0,1,1,0,0,0,0,7,0,0
2024-09-07,Howard,40,34,74,6.0,23,1.0,10,1,1,0,0,0,4,4,1,0
2024-09-14,Robert Morris,31,36,67,3.0,14,1.0,8,0,0,0,1,30,1,1,0,0
2024-09-21,Montana St.,35,24,59,2.0,9,0,0,1,1,37,0,0,0,2,0,0
2024-09-28,Frostburg St.,31,52,83,4.0,7,0,0,0,0,0,1,30,1,1,0,0
2024-10-05,Buffalo St.,36,22,58,9.0,37,4.0,18,1,0,0,1,9,1,6,1,0
2024-10-12,Central Connecticut,38,40,78,5.0,11,1.0,4,1,1,0,0,0,1,0,0,0
2024-10-26,Sacred Heart,33,20,53,5.0,7,0,0,1,1,0,0,0,2,0,0,0
2024-11-02,Duquesne,27,22,49,2.0,2,0,0,0,1,0,1,18,1,4,0,0
2024-11-09,Lincoln (CA),33,12,45,3.0,14,2.0,12,1,1,0,7,26,0,5,1,0
2024-11-23,Saint Francis,31,36,67,5.0,26,3.0,17,2,2,0,0,0,0,2,0,0
2025-08-28,Youngstown St.,29,40,69,2.0,13,1.0,8,0,0,0,0,0,2,4,0,0
2025-09-06,New Haven,28,18,46,3.0,4,0,0,0,0,0,1,0,2,6,0,0
2025-09-13,Sacramento St.,28,40,68,2.0,6,0,0,1,1,0,0,0,1,3,0,0
2025-09-20,Montana St.,37,28,65,4.0,6,0,0,0,0,0,1,0,0,1,0,0
2025-09-27,South Dakota St.,37,36,73,4.0,8,0,0,0,0,0,0,0,0,1,0,0
2025-10-04,LIU,33,2,35,4.0,7,0,0,0,0,0,2,-8,0,3,0,0
2025-10-11,Wagner,37,22,59,6.0,33,4.0,30,3,1,0,0,0,5,6,0,0
2025-10-18,Duquesne,36,28,64,3.0,8,0,0,0,0,0,1,15,0,0,0,0
2025-10-25,Stonehill,34,26,60,8.0,23,1.0,10,0,0,0,1,3,2,1,0,0
2025-11-08,Saint Francis,33,50,83,6.0,19,0,0,0,0,0,0,0,0,7,1,0
2025-11-15,Robert Morris,36,16,52,6.0,24,3.0,16,1,1,0,0,0,0,2,0,0
2025-11-22,Central Conn. St.,33,38,71,6.0,18,0,0,0,1,0,1,51,1,1,0,0
